port_name,country,latitude,longitude,port_size,water_body,shelter,max_vessel_size
Ishinomaki Ko,Japan,38.4,141.316667,Very Small,North Pacific Ocean,Fair,0.0
Diamante,Argentina,-32.066667,-60.65,Very Small,Rio de la Plata; South Atlantic Ocean,Excellent,0.0
Santa Fe,Argentina,-31.65,-60.7,Small,Rio de la Plata; South Atlantic Ocean,Excellent,0.0
Punta Cardon,Venezuela,11.633333,-70.233333,Small,Caribbean Sea; North Atlantic Ocean,Poor,274.3
St Johns,Antigua and Barbuda,17.116667,-61.85,Medium,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Tanjung Pelepas,Malaysia,1.35,103.55,Medium,Strait of Malacca; Indian Ocean,Good,0.0
Tanjung Balai Karimun,Indonesia,0.983333,103.433333,Very Small,Strait of Malacca; Indian Ocean,Poor,0.0
Su-Ao,Taiwan,24.6,121.866667,Medium,East China Sea; North Pacific Ocean,Good,225.0
Sampit,Indonesia,-2.516667,113.0,Very Small,Java Sea; South Pacific Ocean,Good,0.0
Porto Romano,Albania,41.383333333,19.416666667,Medium,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Fair,184.0
Pelabuhan Sandakan,Malaysia,5.833333,118.116667,Small,Sulu Sea; North Pacific Ocean,Good,199.0
Muroran Ko,Japan,42.35,140.966667,Medium,North Pacific Ocean,Good,330.0
Kota Kinabalu,Malaysia,5.983333,116.066667,Medium,South China Sea; North Pacific Ocean,Fair,294.0
Kumul,Papua New Guinea,-8.1,144.566667,Very Small,Gulf of Papua; Coral Sea; South Pacific Ocean,Poor,0.0
Hitachi,Japan,36.5,140.633333,Very Small,North Pacific Ocean,Fair,0.0
Kamaishi Ko,Japan,39.266667,141.9,Small,North Pacific Ocean,Fair,0.0
Hachinohe Ko,Japan,40.533333,141.55,Small,North Pacific Ocean,Good,294.9
Onahama Ko,Japan,36.933333,140.9,Small,North Pacific Ocean,Good,249.9
Kawasaki Ko,Japan,35.5,139.766667,Large,North Pacific Ocean,Good,315.2
Yokohama Ko,Japan,35.45,139.583333,Large,North Pacific Ocean,Good,400.0
Lae,Papua New Guinea,-6.733333,147.0,Very Small,Solomon Sea; South Pacific Ocean,Good,211.9
Vanimo,Papua New Guinea,-2.683333,141.133333,Small,South Pacific Ocean,Excellent,80.0
Kumai,Indonesia,-2.75,111.716667,Very Small,Java Sea; South Pacific Ocean,Good,0.0
Blinyu,Indonesia,-1.633333,105.783333,Very Small,Natuna Sea; South China Sea; South Pacific Ocean,Fair,0.0
Banjarmasin,Indonesia,-3.333333,114.583333,Very Small,Java Sea; South Pacific Ocean,Excellent,155.0
Tawa,Malaysia,4.25,117.883333,Very Small,Celebes Sea; North Pacific Ocean,Fair,199.0
Kushiro Ko,Japan,42.983333,144.366667,Medium,North Pacific Ocean,Good,0.0
Pontianak,Indonesia,-0.0166669999999,109.333333,Very Small,Natuna Sea; South China Sea; South Pacific Ocean,Excellent,0.0
Madang,Papua New Guinea,-5.216667,145.816667,Very Small,Bismarck Sea; South Pacific Ocean,Good,190.0
Wewak Harbor,Papua New Guinea,-3.566667,143.633333,Small,Bismarck Sea; South Pacific Ocean,Fair,150.0
Kuching,Malaysia,1.566667,110.35,Small,South China Sea; North Pacific Ocean,Excellent,200.0
Lahad Datu,Malaysia,5.016667,118.316667,Very Small,Celebes Sea; North Pacific Ocean,Good,199.9
Bintulu Port,Malaysia,3.266667,113.066667,Small,South China Sea; North Pacific Ocean,Poor,299.0
Balikpapan,Indonesia,-1.25,116.816667,Small,Makassar Strait; South Pacific Ocean,Excellent,291.9
Bontang Lng Terminal,Indonesia,0.1,117.483333,Very Small,Makassar Strait; South Pacific Ocean,Fair,117.3
Samarinda,Indonesia,-0.516667,117.116667,Very Small,Makassar Strait; South Pacific Ocean,Good,233.3
Kudat,Malaysia,6.883333,116.85,Very Small,South China Sea; North Pacific Ocean,Fair,114.0
Abashiri Ko,Japan,44.016667,144.283333,Small,Sea of Okhotsk; North Pacific Ocean,Good,0.0
Kota Baru,Indonesia,-3.233333,116.216667,Very Small,Makassar Strait; South Pacific Ocean,Good,320.0
Al Arish,Egypt,31.152045051,33.831078335,Medium,Mediterranean Sea; North Atlantic Ocean,Excellent,250.0
Helgoland,Germany,54.172438358,7.895715237, ,North Sea; North Atlantic Ocean, ,0.0
Angra Dos Reis,Brazil,-23.016667,-44.316667,Small,South Atlantic Ocean,Good,0.0
Macae,Brazil,-22.366667,-41.766667,Very Small,South Atlantic Ocean,Fair,0.0
Daesan Hang,South Korea,37.016667,126.4,Very Small,Yellow Sea; North Pacific Ocean,Fair,0.0
Sao Sebastiao,Brazil,-23.8,-45.4,Small,South Atlantic Ocean,Poor,0.0
Rio De Janeiro,Brazil,-22.9,-43.166667,Large,South Atlantic Ocean,Excellent,0.0
Vitoria,Brazil,-20.316667,-40.333333,Medium,South Atlantic Ocean,Excellent,0.0
Tubarao,Brazil,-20.283333,-40.25,Large,South Atlantic Ocean,Poor,0.0
Progreso,Mexico,21.283333,-89.666667,Very Small,Gulf of Mexico; North Atlantic Ocean,Fair,0.0
Krishnapatnam,India,14.25,80.13333333299998, ,Bay of Bengal; Indian Ocean, ,318.4
