date,BZ=F,CL=F,NG=F,HO=F,GC=F,SI=F,HG=F,SLX,ZS=F,ZC=F,SB=F,KC=F,ZW=F,ZIM,MATX,DAC,SBLK,BDRY,DX-Y.NYB,EURUSD=X,BRL=X,CNY=X,JPY=X,^VIX,^GSPC,^TNX
2021-11-13,82.16999816894531,80.79000091552734,4.790999889373779,2.403700113296509,1867.9000244140625,25.3439998626709,4.45550012588501,56.33000183105469,1234.0,577.25,20.01000022888184,219.6999969482422,817.0,50.209999084472656,94.02999877929688,73.94000244140625,19.170000076293945,22.6299991607666,95.12999725341795,1.145081877708435,5.3979997634887695,6.389500141143799,114.04299926757812,16.290000915527344,4682.85009765625,1.5820000171661377
2021-11-14,82.16999816894531,80.79000091552734,4.790999889373779,2.403700113296509,1867.9000244140625,25.3439998626709,4.45550012588501,56.33000183105469,1234.0,577.25,20.01000022888184,219.6999969482422,817.0,50.209999084472656,94.02999877929688,73.94000244140625,19.170000076293945,22.6299991607666,95.12999725341795,1.145081877708435,5.3979997634887695,6.389500141143799,114.04299926757812,16.290000915527344,4682.85009765625,1.5820000171661377
2021-11-15,82.05000305175781,80.87999725341797,5.017000198364258,2.398099899291992,1866.0999755859373,25.10700035095215,4.4070000648498535,55.34000015258789,1257.25,576.5,19.739999771118164,222.75,826.25,49.36000061035156,93.1500015258789,72.33000183105469,19.06999969482422,21.670000076293945,95.41000366210938,1.144164800643921,5.457600116729736,6.378600120544434,113.9810028076172,16.489999771118164,4682.7998046875,1.6230000257492063
2021-11-16,82.43000030517578,80.76000213623047,5.177000045776367,2.4309000968933105,1853.5999755859373,24.944000244140625,4.358500003814697,54.880001068115234,1251.25,571.0,19.989999771118164,222.0500030517578,810.25,50.09999847412109,90.41999816894533,71.80999755859375,18.190000534057617,19.649999618530277,95.91999816894533,1.1366478204727173,5.456299781799316,6.3821001052856445,114.13200378417967,16.3700008392334,4700.89990234375,1.633999943733215
2021-11-17,80.27999877929688,78.36000061035156,4.815999984741211,2.3643999099731445,1869.699951171875,25.16699981689453,4.2729997634887695,53.880001068115234,1277.0,575.25,20.420000076293945,232.6000061035156,822.25,52.79999923706055,88.95999908447266,72.20999908447266,18.68000030517578,20.450000762939453,95.83000183105467,1.1321182250976562,5.502200126647949,6.39109992980957,114.90399932861328,17.110000610351562,4688.669921875,1.6039999723434448
2021-11-18,81.23999786376953,79.01000213623047,4.901999950408936,2.384000062942505,1861.0,24.900999069213867,4.309999942779541,53.470001220703125,1265.25,573.0,20.18000030517578,228.9499969482422,820.0,54.470001220703125,90.37999725341795,72.02999877929688,19.209999084472656,22.229999542236328,95.54000091552734,1.1321182250976562,5.52869987487793,6.37690019607544,114.19000244140624,17.59000015258789,4704.5400390625,1.5889999866485596
2021-11-19,78.88999938964844,76.0999984741211,5.065000057220459,2.2934000492095947,1851.199951171875,24.780000686645508,4.4085001945495605,53.68999862670898,1263.25,570.75,19.989999771118164,233.3000030517578,823.0,57.16999816894531,90.5500030517578,72.62000274658203,18.8799991607666,24.790000915527344,96.06999969482422,1.1368415355682373,5.556399822235107,6.385000228881836,114.28199768066406,17.90999984741211,4697.9599609375,1.5360000133514404
2021-11-20,78.88999938964844,76.0999984741211,5.065000057220459,2.2934000492095947,1851.199951171875,24.780000686645508,4.4085001945495605,53.68999862670898,1263.25,570.75,19.989999771118164,233.3000030517578,823.0,57.16999816894531,90.5500030517578,72.62000274658203,18.8799991607666,24.790000915527344,96.06999969482422,1.1368415355682373,5.556399822235107,6.385000228881836,114.28199768066406,17.90999984741211,4697.9599609375,1.5360000133514404
2021-11-21,78.88999938964844,76.0999984741211,5.065000057220459,2.2934000492095947,1851.199951171875,24.780000686645508,4.4085001945495605,53.68999862670898,1263.25,570.75,19.989999771118164,233.3000030517578,823.0,57.16999816894531,90.5500030517578,72.62000274658203,18.8799991607666,24.790000915527344,96.06999969482422,1.1368415355682373,5.556399822235107,6.385000228881836,114.28199768066406,17.90999984741211,4697.9599609375,1.5360000133514404
2021-11-22,79.69999694824219,76.75,4.789000034332275,2.325400114059448,1806.0,24.29700088500977,4.395500183105469,55.41999816894531,1274.25,576.75,19.76000022888184,231.3500061035156,845.75,57.0,88.54000091552734,72.05000305175781,19.07999992370605,24.88999938964844,96.5,1.1275737285614014,5.611599922180176,6.386199951171875,114.13800048828124,19.170000076293945,4682.93994140625,1.625
